name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Where I Wanna Be,Donell Jones,1999-05-29,243733,62,0.854,0.0402,0.854,0.543,5.73E-05,0.0419,-6.166,0.0844,103.032,4
Freestyler,Freestyler,Bomfunk MC's,2000,306333,55,0.822,0.0291,0.822,0.922,0.325,0.252,-5.798,0.0989,163.826,4
Let's Get Married,J.E. Heartbreak,Jagged Edge,2000-01-18,263226,55,0.761,0.175,0.761,0.627,0,0.128,-5.554,0.0538,109.821,4
The Time Is Now,Things to Make and Do,Moloko,2000-10-31,318280,54,0.682,0.35,0.682,0.743,0.000129,0.277,-10.644,0.165,127.962,4
Bounce With Me (feat. Xscape) - Edited Album Version,Beware Of Dog,Bow Wow,2000-11-17,175893,35,0.852,0.434,0.852,0.75,0,0.265,-5.153,0.168,72.016,4
No More,Love Crimes,Ruff Endz,2000-08-22,242560,50,0.839,0.0324,0.839,0.641,4.56E-06,0.0602,-5.669,0.0858,97.004,4
The Riddle,L'Amour Toujours,Gigi D'Agostino,1999,285426,65,0.74,0.0173,0.74,0.876,0.00152,0.0785,-6.87,0.0369,127.002,4
I Just Wanna Love U (Give It 2 Me),The Dynasty,JAY-Z,2000-10-31,227866,58,0.8,0.301,0.8,0.922,9.31E-06,0.0352,-5.125,0.24,98.631,4
Higher,Human Clay,Creed,1999-01-01,316733,67,0.459,5.15E-05,0.459,0.83,0.00014,0.206,-6.254,0.0364,155.827,4
Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2001-03-27,259933,77,0.468,0.154,0.468,0.64,0,0.154,-5.862,0.0275,79.297,4
Fallin',Songs In A Minor (Expanded Edition),Alicia Keys,2001-06-26,210200,72,0.653,0.263,0.653,0.609,0.00101,0.233,-7.519,0.037,95.982,3
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Moulin Rouge,Various Artists,2001-09-03,264893,68,0.76,0.0144,0.76,0.801,1.49E-05,0.665,-3.769,0.0534,109.919,4
Hanging By A Moment,No Name Face,Lifehouse,2000-01-01,216360,60,0.537,0.000966,0.537,0.858,0,0.0812,-4.903,0.0349,124.599,4
"Whenever, Wherever",Laundry Service,Shakira,2001-11-13,196160,73,0.793,0.236,0.793,0.832,1.12E-05,0.202,-4.862,0.0406,107.661,4
"Independent Women, Pt. 1",Survivor,Destiny's Child,2001-05-01,221133,64,0.73,0.362,0.73,0.602,3.69E-06,0.169,-3.782,0.206,97.954,4
Love Don't Cost a Thing,J.Lo,Jennifer Lopez,2001-01-23,221226,62,0.786,0.00305,0.786,0.842,3.54E-06,0.473,-5.115,0.0707,97.577,4
Follow Me,Double Wide,Uncle Kracker,2000-06-13,218439,70,0.817,0.439,0.817,0.585,0,0.147,-4.688,0.0301,105.014,4
Uptown Girl - Radio Edit,Coast To Coast (Expanded Edition),Westlife,2000,186440,66,0.645,0.00809,0.645,0.921,1.08E-05,0.407,-5.256,0.0302,129,4
All For You,All For You,Janet Jackson,2001-01-01,329933,61,0.753,0.0174,0.753,0.934,0.065,0.128,-3.011,0.0736,113.525,3
Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,230133,71,0.908,0.242,0.908,0.557,0,0.0709,-4.243,0.107,90.032,4
It's the Way You Make Me Feel,Buzz,Steps,2000-10-30,197360,52,0.573,0.108,0.573,0.665,2.09E-06,0.095,-5.081,0.0239,105.006,4
